id,question,source,choice1,choice2,choice3,choice4,answer
210,大正時代に隆盛した作家が自身の経験や内面を綴る日本特有の形式はどれか,大正,心境小説,私小説,散文詩,告白文学,2
211,萩原朔太郎『月に吠える』が詩史において画期的とされる理由は何か,大正,漢詩形式の復活,口語自由詩の芸術的完成,定型詩への回帰,象徴主義の否定,2
212,平塚らいてうが創刊した日本初の女性による思想雑誌はどれか,大正,女人芸術,青鞜,白樺,明星,2
213,芥川との論争において谷崎が主張したプロットの建築的面白さはどれか,大正,構造的興味,写生的リアリズム,象徴的空間,装飾美,1
214,昭和初期に階級闘争や労働者の現実を重視した文学思潮はどれか,昭和,新感覚派,プロレタリア文学,日本浪漫派,白樺派,2
215,1930年代に共産主義思想を放棄した作家がその苦悩を描いたジャンルはどれか,昭和,私小説,心境小説,転向文学,社会小説,3
216,坂口安吾が戦後「堕ちること」に人間の真実を見出した批評はどれか,昭和,日本文化私観,堕落論,青春論,白痴,2
217,安部公房が『砂の女』で描いた不条理に適応していく世界観はどれか,昭和,写実主義,実存主義・不条理文学,新感覚派,私小説,2
218,松本清張によって確立された社会の構造的悪を告発するジャンルはどれか,昭和,本格推理,変格ミステリー,社会派推理小説,私立探偵もの,3
219,1960年代末の政治の季節が去った後の喪失感を背景としたグループ名はどれか,昭和,戦後派,第三の新人,内向の世代,新感覚派,3
220,中上健次が「紀州連作」において物語装置とした空間はどこか,昭和,路地の神話,共同体の崩壊,血の論理,地方の発見,1
221,昭和50年代に村上春樹らの登場により台頭した記号的な思潮はどれか,昭和,ポストモダン文学,新・新人類の文学,ライト・ノベル,都市文学,1
222,小林秀雄が作品そのものを批評の対象とする姿勢を確立したことは何か,昭和,批評の自律,印象批評,社会学的批評,主観批評,1
223,三島由紀夫が『豊饒の海』で輪回転生を通じて描こうとした概念は何か,昭和,唯識,絶対美,天皇崇拝,滅びの美学,1
224,2004年に史上最年少で芥川賞を受賞した二人は誰か,平成,小川洋子・多和田葉子,綿矢りさ・金原ひとみ,青山七恵・村田沙耶香,本谷有希子・上田岳弘,2
225,多言語的なアプローチで知られる多和田葉子の震災後の作品はどれか,平成,献灯使,容疑者の夜行,雪の練習生,旅をする練習,1
226,多和田葉子が提唱した言語間を移動しながら創作する在り方は何か,平成,翻訳文学,二言語主義,エクソフォニー,比較文学,3
227,福島第一原発事故後の風景と個人の記憶を結びつけた柳美里の作品はどれか,平成,ゴールドラッシュ,命,JR上野駅公園口,家族シネマ,3
228,語り手が信頼できない等の「叙述の不確実性」を突き詰めた飛浩隆のジャンルはどれか,平成,SF（推敲文学）,本格推理,私小説,歴史小説,1
229,明治初期の文学思潮として正しいものはどれか,明治,無頼派,新感覚派,プロレタリア文学,擬古典主義,4
230,明治期の言文一致運動について誤っているものはどれか,明治,二葉亭四迷が推進,和歌改革が中心,話し言葉重視,小説文体変革,2
231,坪内逍遥の文学論として正しいものはどれか,明治,即興詩人,詩歌革新論,小説神髄,日本浪漫派宣言,3
232,明治期の硯友社について誤っているものはどれか,明治,写実主義重視,尾崎紅葉が中心,雅俗折衷体,近代恋愛描写,1
233,幸田露伴の文学的傾向として正しいものはどれか,明治,色彩美重視,自然主義,社会主義思想,理想主義,4
234,明治期の自然主義文学者として誤っているものはどれか,明治,田山花袋,島崎藤村,尾崎紅葉,徳田秋声,3
235,『破戒』について正しいものはどれか,明治,浪漫主義詩集,自然主義小説,明治末期戯曲,随筆作品,2
236,『小説神髄』が批判した従来の小説観として正しいものはどれか,明治,写実主義,自然主義,勧善懲悪主義,象徴主義,3
237,森鷗外の明治期文学に関する説明として誤っているものはどれか,明治,翻訳文学に貢献,自然主義全面肯定,知的構成重視,西洋思想導入,2
238,明治期の浪漫主義詩に強い影響を与えた外国文学として正しいものはどれか,明治,英仏ロマン派,ロシア写実主義,ドイツ自然主義,米国リアリズム,1
239,硯友社文学の文章的特徴として最も適切なものはどれか,明治,言文一致体,写生文体,口語自由詩,雅俗折衷体,4
240,明治期の評論活動について誤っているものはどれか,明治,文学批評が成立,詩歌批評は皆無,西洋理論の導入,小説理論が発展,2
241,明治期に文学の近代化を制度面から支えた動きとして正しいものはどれか,明治,講談復興運動,新聞小説の普及,歌舞伎改良運動,口承文芸重視,2
242,森鷗外が明治期に重視した文学姿勢として正しいものはどれか,明治,芸術の自律性,大衆娯楽性,告愛的内面暴露,階級闘争性,1
243,明治期における「言文一致」の到達点として最も適切な説明はどれか,明治,口語詩の成立,和歌改革の完成,評論文の形式統一,小説文体の近代化,4
244,明治期の文学と国家との関係について誤っているものはどれか,明治,完全な表現自由,検閲制度が存在,思想統制の影響,教育制度との関係,1
245,北村透谷が主張した「内部生命」の概念を論じた批評はどれか,明治,歌よみに与ふ,解体新書,内部生命論,小説神髄,3
246,国木田独歩が『武蔵野』において示した視点を何と呼ぶか,明治,写生の発見,風景の発見,遠近法の発見,内面の発見,2
247,明治10年代に自由民権運動の宣伝媒体として流行したジャンルはどれか,明治,写実小説,政治小説,社会小説,風俗小説,2
248,石川啄木が大逆事件に衝撃を受け文学の傍観者性を拒絶した評論は何か,明治,時代閉塞の現状,一握の砂,悲しき玩具,食ふべき詩,1
249,『高野聖』の作者として正しいものはどれか,明治,国木田独歩,岩野泡鳴,泉鏡花,内田魯庵,3
250,『耽溺』の作者として正しいものはどれか,明治,内田魯庵,岩野泡鳴,斎藤緑雨,北村透谷,2
251,『義血侠血』の作者として正しいものはどれか,明治,泉鏡花,国木田独歩,北村透谷,内田魯庵,1
252,『金色夜叉』の作者として正しいものはどれか,明治,尾崎紅葉,泉鏡花,幸田露伴,樋口一葉,1
253,『たけくらべ』の作者として正しいものはどれか,明治,与謝野晶子,田山花袋,国木田独歩,樋口一葉,4
254,『坊っちゃん』の作者として正しいものはどれか,明治,森鷗外,永井荷風,夏目漱石,二葉亭四迷,3
255,『若菜集』の作者として正しいものはどれか,明治,北村透谷,高村光太郎,佐藤春夫,島崎藤村,4
256,『みだれ髪』の作者として正しいものはどれか,明治,与謝野晶子,樋口一葉,正岡子規,北原白秋,1
257,『舞姫』の文学的性格として正しいものはどれか,明治,自伝的恋愛小説,社会派推理,自然主義告白,歴史小説,1
258,徳冨蘆花が家父長制の矛盾を突いた『不如帰』などのジャンルはどれか,明治,私小説,政治小説,家庭小説,告白小説,3
259,白樺派の思想的特徴として正しいものはどれか,大正,階級闘争重視,人道主義重視,耽美主義追求,虚無思想強調,2
260,大正期の耽美派作家として正しいものはどれか,大正,志賀直哉,島崎藤村,谷崎潤一郎,田山花袋,3
261,志賀直哉の大正期作品に共通する特徴として誤っているものはどれか,大正,簡潔な文体,社会革命の主張,内面倫理の追究,日常題材重視,2
262,大正期文学が明治文学から継承しなかった要素として誤っているものはどれか,大正,内面描写の重視,西洋思想受容,個人表現の追究,道徳的教訓性,4
263,有島武郎が主張した本能的な生命力と愛を肯定する思想はどれか,大正,人道主義,生長の哲学,理想主義,虚無主義,2
264,芥川龍之介が提唱した芸術的な再構成や技巧を重視する態度はどれか,大正,新現実主義,自然主義,耽美主義,シュルレアリスム,1
265,大正時代に隆盛した作家が自身の経験や内面を綴る日本特有の形式はどれか,大正,心境小説,私小説,散文詩,告白文学,2
266,萩原朔太郎『月に吠える』が詩史において画期的とされる理由は何か,大正,漢詩形式の復活,口語自由詩の芸術的完成,定型詩への回帰,象徴主義の否定,2
267,平塚らいてうが創刊した日本初の女性による思想雑誌はどれか,大正,女人芸術,青鞜,白樺,明星,2
268,芥川との論争において谷崎が主張したプロットの建築的面白さはどれか,大正,構造的興味,写生的リアリズム,象徴的空間,装飾美,1
269,有島武郎の作品として正しいものはどれか,大正,暗夜行路,斜陽,春琴抄,或る女,4
270,『檸檬』の作者として正しいものはどれか,大正,室生犀星,志賀直哉,梶井基次郎,菊池寛,3
271,佐藤春夫の作品として正しいものはどれか,大正,田園の憂鬱,月に吠える,野火,点と線,1
272,室生犀星の作品として正しいものはどれか,大正,金閣寺,獄門島,ドグラマグラ,あにいもうと,4
273,『明暗』の作者として正しいものはどれか,大正,森鷗外,志賀直哉,夏目漱石,谷崎潤一郎,3
274,『城の崎にて』の作者として正しいものはどれか,大正,室生犀星,志賀直哉,菊池寛,佐藤春夫,2
275,『地獄変』の作者として正しいものはどれか,大正,有島武郎,里見弴,長塚節,芥川龍之介,4
276,『父帰る』が描く中心テーマとして正しいものはどれか,大正,家族倫理,恋愛至上,政治批判,宗教問題,1
277,中里介山が『大菩薩峠』で提示した大衆文学の先駆的ジャンルはどれか,大正,時代小説,大衆小説（実録文学）,政治小説,冒険小説,2
278,村山知義らの「マヴォ（MAVO）」が掲げた伝統破壊の思潮はどれか,大正,ダダイスム,構成主義,シュルレアリスム,未来派,1
279,昭和初期に階級闘争や労働者の現実を重視した文学思潮はどれか,昭和,新感覚派,プロレタリア文学,日本浪漫派,白樺派,2
280,1930年代に共産主義思想を放棄した作家がその苦悩を描いたジャンルはどれか,昭和,私小説,心境小説,転向文学,社会小説,3
281,坂口安吾が戦後「堕ちること」に人間の真実を見出した批評はどれか,昭和,日本文化私観,堕落論,青春論,白痴,2
282,安部公房が『砂の女』で描いた不条理に適応していく世界観はどれか,昭和,写実主義,実存主義・不条理文学,新感覚派,私小説,2
283,松本清張によって確立された社会の構造的悪を告発するジャンルはどれか,昭和,本格推理,変格ミステリー,社会派推理小説,私立探偵もの,3
284,1960年代末の政治の季節が去った後の喪失感を背景としたグループ名はどれか,昭和,戦後派,第三の新人,内向の世代,新感覚派,3
285,中上健次が「紀州連作」において物語装置とした空間はどこか,昭和,路地の神話,共同体の崩壊,血の論理,地方の発見,1
286,昭和50年代に村上春樹らの登場により台頭した記号的な思潮はどれか,昭和,ポストモダン文学,新・新人類の文学,ライト・ノベル,都市文学,1
287,小林秀雄が作品そのものを批評の対象とする姿勢を確立したことは何か,昭和,批評の自律,印象批評,社会学的批評,主観批評,1
288,三島由紀夫が『豊饒の海』で輪回転生を通じて描こうとした概念は何か,昭和,唯識,絶対美,天皇崇拝,滅びの美学,1
289,『銀河鉄道の夜』の作者として正しいものはどれか,昭和,井伏鱒二,宮沢賢治,横溝正史,夢野久作,2
290,江戸川乱歩の作品として誤っているものはどれか,昭和,人間椅子,孤島の鬼,怪人二十面相,斜陽,4
291,『黒い雨』の作者として正しいものはどれか,昭和,大岡昇平,野間宏,井伏鱒二,小島信夫,3
292,『火垂るの墓』の作者として正しいものはどれか,昭和,安岡章太郎,井上靖,遠藤周作,野坂昭如,4
293,『楢山節考』の作者として正しいものはどれか,昭和,石坂洋次郎,深沢七郎,松本清張,横溝正史,2
294,『個人的な体験』の作者として正しいものはどれか,昭和,仮面の告白,大江健三郎,砂の女,天平の甍,2
295,『ドグラマグラ』の作者として正しいものはどれか,昭和,夢野久作,宮沢賢治,野坂昭如,井伏鱒二,1
296,『野火』の主題として最も適切なものはどれか,昭和,極限状況の人間,英雄的戦争,国家賛美,郷土愛,1
297,『山椒魚』の寓意として正しいものはどれか,昭和,知識人の閉塞,戦争批判,恋愛葛藤,宗教懐疑,1
298,保田與重郎らを中心に、日本独自の古典回帰や美を称揚したグループはどれか,昭和,日本浪漫派,新戯作派,白樺派,文学界,1
299,『ノルウェイの森』で世界的なブームを巻き起こした作者は誰か,平成,川上未映子,村上春樹,吉本ばなな,島田雅彦,2
300,2004年に史上最年少で芥川賞を受賞した二人は誰か,平成,小川洋子・多和田葉子,綿矢りさ・金原ひとみ,青山七恵・村田沙耶香,本谷有希子・上田岳弘,2
301,ミステリー界で「社会派」の筆頭とされ、『火車』や『模倣犯』を著した作家は誰か,平成,桐野夏生,東野圭吾,宮部みゆき,湊かなえ,3
302,現代の閉塞感や身体性を描き、芥川賞を受賞した村田沙耶香の作品はどれか,平成,タッタちゃん,しろいろの街の,地球星人,コンビニ人間,4
303,東日本大震災以降の言葉を問い、多言語的なアプローチで知られる多和田葉子の作品はどれか,平成,献灯使,容疑者の夜行,雪の練習生,旅をする練習,1
304,お笑い芸人として初の芥川賞受賞となり、社会的話題となった又吉直樹の作品はどれか,平成,劇場,人間,火花,東京百景,3
305,多和田葉子が提唱した言語間を移動しながら創作する在り方は何か,平成,翻訳文学,二言語主義,エクソフォニー,比較文学,3
306,福島第一原発事故後の風景と個人の記憶を結びつけた柳美里の作品はどれか,平成,ゴールドラッシュ,命,JR上野駅公園口,家族シネマ,3
307,「内面」の記述を放棄し、徹底した外部描写を試みた平野啓一郎のデビュー作はどれか,平成,日蝕,一月物語,決壊,ドーン,1
308,『盤上の夜』において、ゲームの論理と実存を結びつけた宮内悠介の作品は何文学とされるか,平成,推敲文学,SF（ニュー・ウェーブ）,歴史小説,私小説,2
309,正岡子規の死後、俳句において季語や定型に縛られない「自由律俳句」を提唱した河東碧梧桐の運動を何と呼ぶか,明治・大正,写生派,新傾向俳句,有季定型派,伝統俳句,2
310,明治末期、北原白秋が『思ひ出』において、異国情緒や官能的な感覚を歌い上げ、日本の象徴詩の頂点を示した詩集はどれか,明治,邪宗門,抒情小曲集,海の声,道程,1
311,大正期、自由律短歌の代表者であり、「分け入つても分け入つても青い山」などの句で知られる放浪の俳人は誰か,大正,石川啄木,種田山頭火,尾崎放哉,斎藤茂吉,2
312,昭和初期、北川冬彦らを中心に、既成の抒情を排し、即物的な描写や機械美を追求した詩の運動を何と呼ぶか,昭和,シネマ詩（新詩論）,荒地派,象徴詩,四季派,1
313,明治末期、自然主義の台頭に対し、政府が「徳育」の観点から文学を善導しようと設置し、鷗外らが参加した組織は何か,明治,教化委員会,文芸委員会,検閲局,帝国芸術院,2
314,昭和初期、プロレタリア文学への弾圧が強まる中、共産党員作家・小林多喜二が築地警察署で拷問死した事件は何年か,昭和,1925年,1929年,1933年,1937年,3
315,戦時下において、谷崎潤一郎の『細雪』や島崎藤村の『夜明け前』が、軍部から「時局にそぐわない」として受けた処置は何か,昭和,掲載禁止・発禁,内容改竄,国外追放,推薦図書指定,1
316,終領下の日本において、GHQ（連合国軍最高司令官総司令部）が行った、軍国主義的・封建的表現を禁じた検閲を何と呼ぶか,昭和,特高検閲,プレスコード,教化統制,削除命令,2
317,明治期、「青鞜」に参加し、後に『おはん』などの名作で人間の業と愛欲を冷徹に描き続けた作家は誰か,明治・昭和,宇野千代,林芙美子,平林たい子,岡本かの子,1
318,大正・昭和期、芸術家・岡本一平の妻であり、生命力に溢れた華麗な文体で『生々流転』などを著した作家は誰か,大正・昭和,有吉佐和子,幸田文,岡本かの子,円地文子,3
319,戦後、父・露伴の死を看取った経験をもとに、『父』や『流れる』において、凛とした生活者の視点を描いた作家は誰か,昭和,幸田文,森茉莉,山崎豊子,茨木のり子,1
320,昭和中期、日本の古典（『源氏物語』など）の現代語訳や、女性の情念を描いた『なまみこ物語』で知られる作家は誰か,昭和,瀬戸内寂聴,田辺聖子,円地文子,河野多惠子,3
321,昭和初期、堀辰雄が『聖家族』などで試みた、フランス心理主義文学（プルーストら）の影響下で人間の意識を分析する手法を何と呼ぶか,昭和,新感覚派,新心理主義,自然主義,日本浪漫派,2
322,梶井基次郎が『檸檬』や『冬の日』において、自身の肺結核による「死の予感」を視覚的な色彩や物象に託して描いた文芸的性質は何か,昭和,感覚的象徴主義,写実主義,社会主義,人道主義,1
323,『多情多恨』の作者として正しいものはどれか,明治,幸田露伴,尾崎紅葉,坪内逍遥,山田美妙,2
324,『あざみ』の作者として正しいものはどれか,明治,二葉亭四迷,国木田独歩,斎藤緑雨,内田魯庵,3
325,『五重塔』の作者として正しいものはどれか,明治,尾崎紅葉,泉鏡花,幸田露伴,徳冨蘆花,3
326,『地獄の歌』の作者として正しいものはどれか,明治,岩野泡鳴,田山花袋,島崎藤村,近松秋江,1
327,『草枕』の作者として正しいものはどれか,明治,森鷗外,夏目漱石,泉鏡花,徳冨蘆花,2
328,『にごりえ』の作者として正しいものはどれか,明治,与謝野晶子,樋口一葉,田村俊子,木良子,2
329,『或る女』の作者として正しいものはどれか,大正,志賀直哉,武者小路実篤,有島武郎,里見弴,3
330,『奉教人の死』の作者として正しいものはどれか,大正,芥川龍之介,菊池寛,久米正雄,宇野浩二,1
331,『真理先生』の作者として正しいものはどれか,大正,志賀直哉,武者小路実篤,有島武郎,倉田百三,2
332,『田園の憂鬱』の作者として正しいものはどれか,大正,室生犀星,萩原朔太郎,佐藤春夫,堀口大学,3
333,『あにいもうと』の作者として正しいものはどれか,大正,室生犀星,志賀直哉,芥川龍之介,広津和郎,1
334,『腕くらべ』の作者として正しいものはどれか,大正,谷崎潤一郎,永井荷風,久保田万太郎,里見弴,2
335,『春は馬車に乗って』の作者として正しいものはどれか,昭和,川端康成,横光利一,堀辰雄,梶井基次郎,2
336,『風立ちぬ』の作者として正しいものはどれか,昭和,川端康成,横光利一,堀辰雄,伊藤整,3
337,『ヴィヨンの妻』の作者として正しいものはどれか,昭和,坂口安吾,織田作之助,太宰治,石川淳,3
338,『白痴』の作者として正しいものはどれか,昭和,太宰治,坂口安吾,織田作之助,田中英光,2
339,『真空地帯』の作者として正しいものはどれか,昭和,大岡昇平,武田泰淳,野間宏,椎名麟三,3
340,『砂の女』の作者として正しいものはどれか,昭和,安部公房,三島由紀夫,大江健三郎,井上靖,1
341,『個人的な体験』の作者として正しいものはどれか,昭和,三島由紀夫,大江健三郎,安部公房,中上健次,2
342,『岬』の作者として正しいものはどれか,昭和,大江健三郎,中上健次,古井由吉,後藤明生,2
343,『キッチン』の作者として正しいものはどれか,平成,川上未映子,江國香織,吉本ばなな,小川洋子,3
344,『蛇にピアス』の作者として正しいものはどれか,平成,綿矢りさ,金原ひとみ,村田沙耶香,本谷有希子,2
345,『博士の愛した数式』の作者として正しいものはどれか,平成,江國香織,角田光代,小川洋子,川上弘美,3
346,『コンビニ人間』の作者として正しいものはどれか,平成,川上未映子,今村夏子,村田沙耶香,本谷有希子,3
347,『乳と卵』の作者として正しいものはどれか,平成,川上未映子,綿矢りさ,金原ひとみ,山崎ナオコーラ,1
348,『武蔵野』と並び、自然主義の先駆とされる『牛肉と馬鈴薯』の作者は誰か,明治,島崎藤村,国木田独歩,田山花袋,岩野泡鳴,2
349,言文一致体の先駆とされる『武蔵野』以前の作品『武蔵野（書き出しが「武蔵野の…」）』を執筆した山田美妙と並ぶ文体改革者は誰か,明治,二葉亭四迷,尾崎紅葉,坪内逍遥,幸田露伴,1
350,『高瀬舟』や『山椒大夫』など、歴史の事実に拠りつつ独自の倫理観を描いた鷗外の「歴史小説」の先駆作はどれか,明治・大正,阿部一族,寒山拾得,渋江抽斎,最後の一句,1
351,『冷笑』や『ふらんす物語』において、明治末期の日本社会を冷徹に批判した作家は誰か,明治,永井荷風,夏目漱石,森鷗外,内田魯庵,1
352,『婦系図（おんなけいず）』において、師・紅葉譲りの情念と独自の幻想世界を描いたのは誰か,明治,幸田露伴,泉鏡花,徳冨蘆花,徳田秋声,2
353,『出家とその弟子』の作者であり、大正期の宗教的・人道的な精神を象徴する作家は誰か,大正,有島武郎,武者小路実篤,倉田百三,阿部次郎,3
354,『友情』と並ぶ白樺派の青春小説の古典『愛と認識との出発』を著したのは誰か,大正,武者小路実篤,志賀直哉,有島武郎,倉田百三,4
355,『縮図』や『あらくれ』を著し、自然主義の伝統を大正・昭和へと継承した作家は誰か,大正・昭和,田山花袋,島崎藤村,徳田秋声,近松秋江,3
356,『地蔵尊』を著し、大正期の私小説・心境小説の深化に貢献した「漱石門下」の作家は誰か,大正,芥川龍之介,菊池寛,内田百閒,久米正雄,3
357,『麦と兵隊』などの「兵隊三部作」を著し、戦時下の国民的作家となったのは誰か,昭和,火野葦平,石川達三,上林暁,尾崎一雄,1
358,『生きている兵隊』で検閲を受けつつも、戦場の実態を描こうとした作家は誰か,昭和,火野葦平,石川達三,大岡昇平,野間宏,2
359,『雪国』の作者・川端康成が、戦後直後に「あわれ」の精神を深めた古典的回帰を示す作品はどれか,昭和,千羽鶴,山の音,みづうみ,古都,1
360,『氷壁』や『敦煌』において、現代的な孤独と壮大な歴史ロマンを並行して描いた作家は誰か,昭和,井上靖,司馬遼太郎,大佛次郎,新田次郎,1
361,『不毛地帯』や『沈まぬ太陽』など、巨大な組織と個人の対峙を綿密な取材で描いた社会派作家は誰か,昭和,松本清張,山崎豊子,有吉佐和子,城山三郎,2
362,『恍惚の人』や『華岡青洲の妻』など、社会問題と歴史を女性の視点から描いた作家は誰か,昭和,円地文子,幸田文,有吉佐和子,瀬戸内寂聴,3
363,『火車』や『理由』において、現代社会の歪みをミステリーの枠組みで描き切った作家は誰か,平成,宮部みゆき,桐野夏生,東野圭吾,湊かなえ,1
364,『1Q84』の作者・村上春樹が、地下鉄サリン事件の取材をもとに著したノンフィクションはどれか,平成,アンダーグラウンド,約束された場所で,神の子どもたちはみな踊る,ねじまき鳥クロニクル,1
365,『蹴りたい背中』の作者・綿矢りさのデビュー作であり、17歳で文藝賞を受賞した作品はどれか,平成,インストール,夢を与える,勝手にふるえてろ,手のひらの京,1
366,『古事記』の編纂において誦読（暗唱）の役割を担った人物は誰か,奈良時代,藤原定家,紀貫之,稗田阿礼,清少納言,3
367,『万葉集』の歌風の特徴として最も適切なものはどれか,奈良時代,技巧的で繊細な表現,率直で力強い（ますらをぶり）,滑稽味を重視する,幽玄を重んじる,2
368,『竹取物語』の文学史上の意義として正しいものはどれか,平安時代,随筆の成立,歌物語の完成,現存最古の物語（物語の出で来はじめ）,軍記の原型,3
369,『伊勢物語』のジャンルとして正しいものはどれか,平安時代,仏教説話集,日記文学,随筆文学,歌物語,4
370,『土佐日記』において紀貫之が用いた記述上の工夫はどれか,平安時代,漢文で公的な記録を残した,男性が女性を装い仮名で記した,和歌を一切排除した,口承文芸をそのまま筆録した,2
371,『源氏物語』の作者として正しいものはどれか,平安時代,清少納言,紫式部,和泉式部,赤染衛門,2
372,平安時代の随筆文学の代表作であり「をかし」の美意識で知られる作品はどれか,平安時代,更級日記,枕草子,蜻蛉日記,紫式部日記,2
373,『古今和歌集』の仮名序を執筆した人物は誰か,平安時代,在原業平,藤原公任,紀貫之,藤原定家,3
374,『今昔物語集』の構成上の特徴として正しいものはどれか,平安時代,和歌のみを収める,天竺・震旦・本朝の三部構成,作者が一人に特定される,平安遷都以前の物語のみを描く,2
375,「六歌仙」の一人に数えられる『伊勢物語』のモデルとされる人物は誰か,平安時代,文屋康秀,喜撰法師,在原業平,小野小町,3
376,『方丈記』の作者であり隠遁生活を背景に無常観を綴ったのは誰か,鎌倉時代,吉田兼好,西行,俊成,鴨長明,4
377,『徒然草』の作者として一般的に用いられる呼称はどれか,鎌倉時代,卜部兼好,鴨長明,兼好法師,阿仏尼,3
378,『新古今和歌集』の編纂を中心的に担い「有心」の歌風を確立したのは誰か,鎌倉時代,紀貫之,藤原定家,鴨長明,西行,2
379,琵琶法師の語りを通じて広まった平家の興亡を描く軍記物語はどれか,鎌倉時代,保元物語,平治物語,平家物語,太平記,3
380,鎌倉時代の仏教説話集で、民衆教化のために記された無住の著作はどれか,鎌倉時代,今昔物語集,宇治拾遺物語,沙石集,十訓抄,3
381,南北朝の動乱を描き、室町時代に成立した軍記物語はどれか,室町時代,平家物語,承久記,義経記,太平記,4
382,能楽の理論書『風姿花伝』を著し「幽玄」の美を説いたのは誰か,室町時代,観阿弥,宗祇,世阿弥,一休宗純,3
383,室町時代に流行した、複数の人が句を連ねていく集団文芸を何と呼ぶか,室町時代,俳諧,和歌,連歌,狂言,3
384,室町時代の庶民的な短編物語の総称を何と呼ぶか,室町時代,仮名草子,御伽草子,浮世草子,読本,2
385,室町時代の連歌を大成し『新撰つくば集』を編纂したのは誰か,室町時代,心敬,肖柏,芭蕉,宗祇,4
386,江戸時代初期に流行した、平易な文体で教訓や娯楽を綴った読み物を何と呼ぶか,江戸時代,浮世草子,読本,仮名草子,黄表紙,3
387,『好色一代男』などの浮世草子を著し、町人の現実的な生活を描いたのは誰か,江戸時代,近松門左衛門,松尾芭蕉,井原西鶴,上田秋成,3
388,『おくのほそ道』を著し、俳諧に高い精神性を付与したのは誰か,江戸時代,与謝蕪村,小林一茶,松本芭蕉,井原西鶴,3
389,『曽根崎心中』などの浄瑠璃・歌舞伎の脚本を書いた「東洋のシェイクスピア」と称される人物は誰か,江戸時代,近松門左衛門,市川団十郎,竹本義太夫,出雲阿国,1
390,江戸後期の読本の代表作『雨月物語』の作者は誰か,江戸時代,曲亭馬琴,上田秋成,山東京伝,十返舎一九,2
391,『南総里見八犬伝』を著し、勧善懲悪を長大な物語として構成したのは誰か,江戸時代,上田秋成,曲亭馬琴,恋川春町,柳亭種彦,2
392,『東海道中膝栗毛』のジャンルとして正しいものはどれか,江戸時代,人情本,洒落本,滑稽本,読本,3
393,江戸時代に普及した、絵が中心の娯楽本（草双紙）のうち、風刺や滑稽を特徴とするものはどれか,江戸時代,赤本,青本,黄表紙,黒本,3
394,俳諧において「不易流行」の理念を唱えたのは誰か,江戸時代,与謝蕪村,小林一茶,松尾芭蕉,向井去来,3
395,江戸文学がそれまでの文学と決定的に異なる社会的背景は何か,江戸時代,宮廷による保護,出版文化の発達と読者層の拡大,宗教的権威の独占,武士のみの享受,2
396,『日本書紀』の記述体裁について正しい説明はどれか,奈良時代,仮名で書かれた物語体,天皇の私的な回想録,漢文体で編纂された歴史書,各地の説話を集めた和文体,3
397,『風土記』の編纂目的として最も適切なものはどれか,奈良時代,和歌の収集と分類,仏教の教理の普及,地方の統治と地理的情報の把握,宮廷儀礼の記録,3
398,『宇津保物語』の文学史上の位置づけとして正しいものはどれか,平安時代,日本最初の随筆,初期の長編物語,軍記物語の先駆,最初の和歌集,2
399,『和泉式部日記』の作者属性として正しいものはどれか,平安時代,女流作家,僧侶,武士,男性官人,1
400,『更級日記』の内容として適切なものはどれか,平安時代,宮廷の公式行事記録,作者の生涯を回想的に記した日記,歴史的事実の年代記,和歌の批評書,2
401,「六歌仙」の一人に数えられる女性歌人は誰か,平安時代,紫式部,和泉式部,赤染衛門,小野小町,4
402,『今昔物語集』に含まれない区分（場所の分類）はどれか,平安時代,天竺,震旦,本朝,西洋,4
403,『宇治拾遺物語』について正しい説明はどれか,鎌倉時代,作者が兼好法師である,勅撰和歌集である,仏教説話と世俗説話を含む,貴族の日記文学である,3
404,『保元物語』や『平治物語』の文学的性格として適切なものはどれか,鎌倉時代,随筆文学,歌物語,軍記物語,日記文学,3
405,『方丈記』の文体的性格として不適切なものはどれか,鎌倉時代,和漢混交文,仮名散文,漢文体のみの記述,随想的記述,3
406,『徒然草』が随筆史上重要とされる構成上の特徴はどれか,鎌倉時代,一貫した物語性,断想的な随筆の形式確立,歴史事実の年代記,体系的な評論,2
407,世阿弥が記した能楽論のうち、芸の修行段階を説いたものはどれか,室町時代,連歌論,風姿花伝,十訓抄,御伽草子,2
408,五山文学の主な担い手と表現形式はどれか,室町時代,禅僧による漢詩文,武士による軍記,町人による俳諧,女性による仮名日記,1
409,連歌の本質的な特徴として正しいものはどれか,室町時代,複数人による共同制作,個人の独白の強調,写実的な描写の徹底,漢詩との融合,1
410,安土桃山時代にキリシタン版として刊行された軍記物語はどれか,安土桃山時代,天草版平家物語,御伽草子,太平記,義経記,1
411,江戸時代初期に流行した『伊曽保物語』などが属するジャンルはどれか,江戸時代,浮世草子,読本,仮名草子,滑稽本,3
412,『雨月物語』において上田秋成が用いた、古典への深い造詣に基づく特徴はどれか,江戸時代,怪異表現と知的構成,徹底した滑稽味,武士の武勇伝,町人の経済活動描写,1
413,曲亭馬琴の『南総里見八犬伝』が掲げた、物語の道徳的な根幹はどれか,江戸時代,現世享楽,勧善懲悪,実証主義,幽玄,2
414,『東海道中膝栗毛』の主人公二人の名前として正しい組み合わせはどれか,江戸時代,弥次郎兵衛・喜多八,清兵衛・太助,金さん・銀さん,茂吉・吾作,1
